id,longitude,latitude,date,time
291,153.08067,-27.562717,12/17/2021,8:30
292,153.08223,-27.562544,12/17/2021,8:45
293,153.08223,-27.562614,12/17/2021,12:30
294,153.0802,-27.562445,12/17/2021,14:00
295,153.10242,-27.502928,12/17/2021,10:20
296,153.10187,-27.50146,12/17/2021,10:35
297,153.1017,-27.503288,12/17/2021,10:30
298,153.10251,-27.501396,12/17/2021,10:45
299,153.10123,-27.504019,12/17/2021,10:25
300,153.10233,-27.504229,12/17/2021,10:50
301,153.05913,-27.451406,12/17/2021,7:36
302,153.40372,-27.500328,12/17/2021,8:50
303,153.43835,-27.398432,12/17/2021,7:15
304,152.90295,-27.676796,12/17/2021,11:00
305,151.95271,-27.562881,12/17/2021,7:15
306,152.95149,-27.100832,12/17/2021,14:00
307,152.36374,-26.587864,12/17/2021,0:00
308,153.13411,-26.803734,12/17/2021,19:05
309,153.13525,-26.805109,12/17/2021,19:33
310,146.76225,-19.298985,12/17/2021,10:40
311,146.74925,-19.323885,12/17/2021,12:00
312,146.74925,-19.323885,12/17/2021,9:00
313,146.76353,-19.299297,12/17/2021,10:00
314,146.82648,-19.251038,12/17/2021,18:00
315,146.75665,-19.32586,12/17/2021,10:05
316,146.75665,-19.32586,12/17/2021,10:05
317,146.80612,-19.239855,12/17/2021,14:45
318,146.76353,-19.299297,12/17/2021,11:00
319,146.76308,-19.299238,12/17/2021,11:00
320,146.82024,-19.260494,12/17/2021,11:35
321,146.82024,-19.260494,12/17/2021,11:35
322,146.81631,-19.26072,12/17/2021,9:35
323,146.81631,-19.26072,12/17/2021,9:35
324,145.74115,-16.911325,12/17/2021,16:20
325,151.20929,-33.86882,12/17/2021,13:26
326,151.20929,-33.86882,12/17/2021,13:26
327,145.74037,-16.911224,12/17/2021,16:25
328,145.7421,-16.900986,12/17/2021,16:15
329,144.96306,-37.81363,12/17/2021,15:45
330,145.77095,-16.920347,12/17/2021,15:20
331,145.46301,-16.480839,12/17/2021,10:00
332,145.46547,-16.501669,12/17/2021,0:00
333,145.46233,-16.479082,12/17/2021,8:45
334,145.46378,-16.482841,12/17/2021,8:45
335,145.4632,-16.481985,12/17/2021,10:30
336,145.46288,-16.481361,12/17/2021,17:00
337,153.0257,-27.469673,12/16/2021,10:10
338,153.01402,-27.465601,12/16/2021,19:30
339,153.02602,-27.47003,12/16/2021,10:45
340,153.04684,-27.466787,12/16/2021,10:15
341,153.04315,-27.469814,12/16/2021,10:25
342,153.0424,-27.45533,12/16/2021,10:05
343,153.03986,-27.455223,12/16/2021,0:00
344,153.03444,-27.458208,12/16/2021,22:40
345,153.03311,-27.457815,12/16/2021,21:05
346,153.033,-27.457079,12/16/2021,20:00
347,153.033,-27.457079,12/16/2021,20:00
348,153.04431,-27.450724,12/16/2021,15:56
349,153.04099,-27.449358,12/16/2021,8:30
350,153.04106,-27.45753,12/16/2021,10:48
351,153.03378,-27.459412,12/16/2021,23:05
352,153.04968,-27.368973,12/16/2021,11:45
353,152.9741,-27.412018,12/16/2021,8:00
354,153.01399,-27.453001,12/16/2021,10:30
355,152.99574,-27.458324,12/16/2021,11:30
356,153.00821,-27.502918,12/16/2021,0:00
357,152.9598,-27.573654,12/16/2021,12:05
358,153.02757,-27.484602,12/16/2021,12:55
359,153.01555,-27.475348,12/16/2021,10:30
360,153.03566,-27.499826,12/16/2021,13:25
361,153.03459,-27.499573,12/16/2021,7:00
362,153.0312,-27.55885,12/16/2021,9:50
363,153.02394,-27.577314,12/16/2021,14:45
364,153.08223,-27.562614,12/16/2021,12:15
365,153.08223,-27.562614,12/16/2021,12:20
366,153.0808,-27.562168,12/16/2021,12:20
367,153.08554,-27.564,12/16/2021,12:25
368,153.08554,-27.564,12/16/2021,12:25
369,153.08223,-27.562544,12/16/2021,8:45
370,153.08223,-27.562614,12/16/2021,12:15
371,153.08252,-27.562422,12/16/2021,14:00
372,153.03317,-27.382057,12/16/2021,14:00
373,153.12427,-27.595867,12/16/2021,18:30
374,152.98412,-27.719257,12/16/2021,19:30
375,153.13191,-27.628685,12/16/2021,16:00
376,153.0722,-27.670204,12/16/2021,18:30
377,153.0722,-27.670204,12/16/2021,18:30
378,153.1164,-27.678898,12/16/2021,13:20
379,153.11595,-27.680973,12/16/2021,12:05
380,153.19543,-27.522713,12/16/2021,12:00
381,153.19543,-27.522736,12/16/2021,13:00
382,153.27942,-27.585417,12/16/2021,18:20
383,153.30247,-27.612434,12/16/2021,5:30
384,153.27968,-27.58513,12/16/2021,22:15
385,153.09811,-27.471254,12/16/2021,15:55
386,153.43835,-27.398432,12/16/2021,7:20
387,153.3088,-27.861036,12/16/2021,14:25
388,151.95142,-27.56111,12/16/2021,18:30
389,151.95502,-27.556581,12/16/2021,10:00
390,151.92029,-27.553144,12/16/2021,8:00
391,151.95271,-27.562881,12/16/2021,7:15
392,152.99037,-27.228796,12/16/2021,9:00
393,153.09114,-26.657759,12/16/2021,16:40
394,153.08846,-26.654995,12/16/2021,15:10
395,149.18683,-21.143396,12/16/2021,8:25
396,149.18683,-21.143396,12/16/2021,8:25
397,149.18065,-21.17177,12/16/2021,8:00
398,146.81499,-19.250294,12/16/2021,19:25
399,146.81499,-19.250294,12/16/2021,19:25
400,146.82083,-19.25715,12/16/2021,21:25
401,146.82083,-19.25715,12/16/2021,21:25
